Property_type;Property_city;Property_location;Bedrooms;Bathrooms;Parking_space;Floor_size;Estate Agent;Property_price
1 Bedroom Apartment;Centurion;Die Hoewes;1;1;1;100 m²;Rent a Prop Pretoria East;6600
3 Bedroom Apartment;Centurion;Die Hoewes;3;2;1;49 m²;Real Estate Services;16000
3 Bedroom Apartment;Centurion;Midfield Estate;3;3;3;254 m²;MERCY PROPERTIES;42000
1 Bedroom Apartment;Centurion;Monavoni AH;1;1;1;154 m²;Uniprop Real Estate Centurion;5600
2 Bedroom Apartment;Centurion;Pierre Van Ryneveld;2;1;2;75 m²;RealNet Midstream Estates (Pty) Ltd;8100
2 Bedroom Apartment;Centurion;The Reeds;2;1;2;116 m²;Just Property, Midstream Estate;7200
2 Bedroom Apartment;Centurion;Kosmosdal;2;1;2;;Plus Group Properties;8000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2.5;2;;MERCY PROPERTIES;29500
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;4;;MERCY PROPERTIES;26000
Apartment;Centurion;Clubview;2;1;1;;;6500
2 Bedroom Apartment;Centurion;Monavoni;1;1;1;;;7500
1 Bedroom Apartment;Centurion;Die Hoewes;1;1;1;;;7250
1 Bedroom Apartment;Centurion;The Reeds;2;1;2;;;6600
2 Bedroom Apartment;Centurion;The Reeds;2;1;3;;;7200
2 Bedroom Apartment;Centurion;Celtisdal;3;2;3;;;9000
3 Bedroom Apartment;Centurion;The Reeds;;;;;;12000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;148 m²;Just Property, Midstream Estate;30000
2 Bedroom Apartment;Centurion;Kosmosdal;2;2;1;60 m²;Plus Group Properties;8900
3 Bedroom Apartment;Centurion;Celtisdal;3;2;1;138 m²;Real Estate Services;11500
2 Bedroom Apartment;Centurion;The Reeds;2;1;1;84 m²;Trafalgar Property Management - Pretoria;8000
3 Bedroom Apartment;Centurion;Midstream Estate;3;3;2;60 m²;Karen Jonker Properties;55000
2 Bedroom Apartment;Centurion;Amberfield;2;1;1;160 m²;CSi Property Group;9700
3 Bedroom Apartment;Centurion;Laudium;3;3;1;60 m²;Real Estate Services;8500
0.5 Bedroom Apartment;Centurion;Midstream Hill Estate;0.5;1;1;42 m²;Just do It Properties;6800
2 Bedroom Apartment;Centurion;Rooihuiskraal North;2;3;1;70 m²;RealNet Centurion Core Properties;9400
3 Bedroom Apartment;Centurion;Midstream Estate;3;1;2;72 m²;Karen Jonker Properties;45000
1 Bedroom Apartment;Centurion;Die Hoewes;1;1;1;101 m²;Uniprop Real Estate Centurion;7000
2 Bedroom Apartment;Centurion;Heuweloord;2;3;1;154 m²;CSi Property Group;8600
3 Bedroom Apartment;Centurion;Midstream Estate;3;2;2;129 m²;Karen Jonker Properties;55000
2 Bedroom Apartment;Centurion;Raslouw;2;2;1;;Plus Group Properties;8500
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;1;;Pretor Property Management (Pty) Ltd;8700
2 Bedroom Apartment;Centurion;Raslouw;2;2;1;;1st Choice Family Homes Newlands;9000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;;Centridge;26000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;1;2;;RealNet Midstream Estates (Pty) Ltd;26000
2 Bedroom Apartment;Centurion;Heuweloord;2;1;1;;CSi Property Group;8600
0.5 Bedroom Apartment;Centurion;Midstream Hill Estate;0.5;;1;;Just do It Properties;9000
0.5 Bedroom Apartment;Centurion;Midstream Hill Estate;0.5;;;;Just do It Properties;6800
2 Bedroom Apartment;Centurion;Monavoni AH;2;1;1;201 m²;Rent a Prop Pretoria East;6200
2 Bedroom Apartment;Centurion;Zwartkop;2;1;2;80 m²;Zukisa Real Estate;8500
2 Bedroom Apartment;Centurion;The Reeds;2;1;4;65 m²;RealNet Midstream Estates (Pty) Ltd;10500
3 Bedroom Apartment;Centurion;Ascend to Midstream;3;3;1;110 m²;RE/MAX Infoglobe - Centurion;45000
