Property_type;Property_city;Property_location;Bedrooms;Bathrooms;Parking_space;Floor_size;Estate Agent;Property_price
2 Bedroom Apartment;Pretoria;Olympus AH;2;2;1;94 m²;Property.CoZa - Unlimited;10450
2 Bedroom Apartment;Pretoria;Claremont;2;1.5;4;85 m²;LuxLiv Property Group;5500
1 Bedroom Apartment;Pretoria;Menlyn;1;1;1;48 m²;Just Property Pretoria North;25000
4 Bedroom Apartment;Pretoria;Pretoria North;4;2;1;70 m²;LuxLiv Property Group;19000
1 Bedroom Apartment;Pretoria;Menlyn;1;1;2;44 m²;Engel & Volkers Waterkloof Pretoria;25000
1 Bedroom Apartment;Pretoria;Monument Park;1;1;2;60 m²;RE/MAX Capital;6000
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;1;;Plus Group Properties;12500
2 Bedroom Apartment;Pretoria;Olympus AH;2;2;1;;Huurkor Hatfield;10450
2 Bedroom Apartment;Pretoria;Hatfield;2;1;1;;Realty 1 Pretoria New East;8080
1 Bedroom Apartment;Pretoria;Equestria;1;1;1;;Mountain Estates;7950
2 Bedroom Apartment;Pretoria;Montana;2;2;;;RE/MAX Infoglobe - Constantia Park;10200
1 Bedroom Apartment;Pretoria;Waterkloof Park;1;1;;;RealNet Pretoria North;12000
3 Bedroom Apartment;Pretoria;Sinoville;3;1.5;;;;7100
1 Bedroom Apartment;Pretoria;Savannah Country Estate;1;1;;;;9500
2 Bedroom Apartment;Pretoria;Willow Park Manor;2;2;1;72 m²;IGrow Rentals;12500
2 Bedroom Apartment;Pretoria;Hatfield;2;1;2;76 m²;Estelle Du Toit Properties;7750
1 Bedroom Apartment;Pretoria;Waverley;1;1;1;107 m²;Just Sell Properties - North East;6500
2.5 Bedroom Apartment;Pretoria;Sunnyside;2.5;1;2;63 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;7850
2 Bedroom Apartment;Pretoria;Montana;2;2;2;161 m²;Mountain Estates;7300
2 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;2;2;1;32 m²;More SA Properties;16300
2 Bedroom Apartment;Pretoria;Waverley;2;2;2;71 m²;Vorster Attorneys;10250
2 Bedroom Apartment;Pretoria;Mooikloof Ridge;2;1;1;25 m²;Urbanvest;7015
3 Bedroom Apartment;Pretoria;La Montagne;3;2.5;1;63 m²;Plus Group Properties;17500
1 Bedroom Apartment;Pretoria;Pretoria Central;1;1;1;58 m²;RE/MAX Infoglobe - Constantia Park;4903
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;40 m²;Just Sell Properties - North East;9240
1 Bedroom Apartment;Pretoria;Zwartkoppies;1;1;1;60 m²;Just Sell Properties - North East;7800
2 Bedroom Apartment;Pretoria;Montana;2;1;2;60 m²;RE/MAX Infoglobe - Constantia Park;7800
2 Bedroom Apartment;Pretoria;Montana;2;1;2;60 m²;Unicity Realty;7800
1 Bedroom Apartment;Pretoria;Lynnwood Ridge;1;1;1;;Mirinda Opperman Realtors;6950
2 Bedroom Apartment;Pretoria;Waverley;2;2;1;;Plus Group Properties;10250
2 Bedroom Apartment;Pretoria;Shere;2;2;1;;Plus Group Properties;7980
1 Bedroom Apartment;Pretoria;Hatfield;1;1;1;;Plus Group Properties;6680
2 Bedroom Apartment;Pretoria;Sinoville;2;2;;;;10600
2 Bedroom Apartment;Pretoria;Sinoville;2;2;;;;10600
2 Bedroom Apartment;Pretoria;Sinoville;2;2;;;;10600
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;60 m²;Plus Group Properties;10600
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;60 m²;Plus Group Properties;10400
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;60 m²;Plus Group Properties;10600
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;60 m²;Plus Group Properties;10400
3 Bedroom Apartment;Pretoria;Sinoville;3;1;2;71 m²;Plus Group Properties;6900
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;55 m²;AFHCO Holdings (Pty) Ltd Johannesburg;9240
2 Bedroom Apartment;Pretoria;Pretoria North;2;1;1;61 m²;Dormehl Phalane Property Group;5500
0.5 Bedroom Apartment;Pretoria;Zwartkoppies;0.5;1;1;125 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;6000
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;104 m²;Rapid Rentals;7580
3 Bedroom Apartment;Pretoria;Menlyn;3;2;1;88 m²;RE/MAX Infoglobe - Constantia Park;30000
0.5 Bedroom Apartment;Pretoria;Capital Park;0.5;1;2;45 m²;Pryca Properties (Pty) Ltd;2400
3 Bedroom Apartment;Pretoria;Rietfontein;3;2;1;60 m²;RE/MAX Infoglobe - Centurion;9000
1 Bedroom Apartment;Pretoria;Garsfontein;1;1;2;36 m²;Just Sell Properties - North East;6773
2 Bedroom Apartment;Pretoria;The Hills Game Reserve Estate;2;2;1;;RealNet RainMaker;12250
1 Bedroom Apartment;Pretoria;Montana;1;1;2;;Plus Group Properties;6350
2 Bedroom Apartment;Pretoria;Hazelwood;2;2;1;;RE/MAX Infoglobe - Constantia Park;17800
1 Bedroom Apartment;Pretoria;Waterkloof;1;1;1;;Rainbow Properties;9500
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;;;10600
0.5 Bedroom Apartment;Pretoria;Menlo Park;0.5;1;2;;;12000
1 Bedroom Apartment;Pretoria;Kameeldrift East;1;2;;;;7500
1 Bedroom Apartment;Pretoria;Sunnyside;1;1;;;;4290
2 Bedroom Apartment;Pretoria;Hatfield;2;1;1;99 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;8500
2 Bedroom Apartment;Pretoria;Menlo Park;2;2.5;2;45 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;14000
58 Bedroom Apartment;Pretoria;Waterkloof;58;58;58;40 m²;Huurkor Hatfield;10990
2 Bedroom Apartment;Pretoria;Elarduspark;2;2;2;60 m²;IGrow Rentals;11000
2 Bedroom Apartment;Pretoria;Hatfield;2;1;1;52 m²;Plus Group Properties;8600
1 Bedroom Apartment;Pretoria;Willow Park Manor;1;1;1;64 m²;FIO Real Estate;7999
2 Bedroom Apartment;Pretoria;Annlin;2;2;1;74 m²;Plus Group Properties;8400
2 Bedroom Apartment;Pretoria;Montana Tuine;2;1;2;45 m²;Landsdowne Investment Properties;8500
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;77 m²;Just Sell Properties - North East;8800
2 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;2;2;2;74 m²;Just Sell Properties - North East;13000
58 Bedroom Apartment;Pretoria;Waterkloof;58;58;58;38 m²;Just Sell Properties - North East;10990
3 Bedroom Apartment;Pretoria;Pretoria North;3;2;1;55 m²;Rize Property Professionals;6800
0.5 Bedroom Apartment;Pretoria;Pretoria North;0.5;1;1;;Plus Group Properties;4600
2 Bedroom Apartment;Pretoria;Montana;2;2;2;;City Property;8500
2 Bedroom Apartment;Pretoria;Menlo Park;2;2;2;;Property.CoZa - Unlimited;13550
3 Bedroom Apartment;Pretoria;Annlin-Wes;3;2;2;;RE/MAX Infoglobe - Constantia Park;7500
2 Bedroom Apartment;Pretoria;Arcadia;2;1;2;;;7350
1.5 Bedroom Apartment;Pretoria;Waverley;1.5;1;1;;;5400
1 Bedroom Apartment;Pretoria;Arcadia;1;1;1;;;5500
1 Bedroom Apartment;Pretoria;Shere;1;1;1;;;8000
58 Bedroom Apartment;Pretoria;Waterkloof;58;58;58;;;17990
2 Bedroom Apartment;Pretoria;Hillcrest;2;1;1;41 m²;RE/MAX Capital;8000
3 Bedroom Apartment;Pretoria;Sinoville;3;1;1;100 m²;Just Sell Properties - North East;7800
2.5 Bedroom Apartment;Pretoria;Muckleneuk;2.5;2;1;56 m²;RealNet RainMaker;5600
2 Bedroom Apartment;Pretoria;Olympus AH;2;2;2;56 m²;Just Sell Properties - North East;8200
2 Bedroom Apartment;Pretoria;Montana;2;2;2;81 m²;CSi Property Group;8500
2 Bedroom Apartment;Pretoria;La Montagne;2;1;1;64 m²;Gleeson Real Estate;8300
2 Bedroom Apartment;Pretoria;Castle Gate;2;2;1;82 m²;CSi Property Group;15000
2 Bedroom Apartment;Pretoria;La Montagne;2;1;1;81 m²;EXP South Africa;8300
2 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;2;2;4;45 m²;Just Property Pretoria North;15000
4 Bedroom Apartment;Pretoria;Pretoria North;4;2;2;;RE/MAX Infoglobe - Constantia Park;14300
2 Bedroom Apartment;Pretoria;Villieria;2;1;2;;RE/MAX Infoglobe - Centurion;7350
2 Bedroom Apartment;Pretoria;West Park;2;1;2;;Just Sell Properties - North East;7200
2 Bedroom Apartment;Pretoria;Montana;2;1;4;;Renmor Eiendomme;8000
3 Bedroom Apartment;Pretoria;Capital Park;3;2;1;;Gleeson Real Estate;15000
2 Bedroom Apartment;Pretoria;Castle Gate;2;2;2;;Tyson Properties Pretoria New East;15000
2 Bedroom Apartment;Pretoria;Equestria;2;2;1;;iQ Real Estate;10500
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;2;;RE/MAX Capital;12000
2 Bedroom Apartment;Pretoria;Alphen Park;2;2;1;;;14500
2 Bedroom Apartment;Pretoria;Equestria;2;1;1;;;8500
1 Bedroom Apartment;Pretoria;Brooklyn;1;1;1;;;6800
3 Bedroom Apartment;Pretoria;Sinoville;3;1;;;;9570
2 Bedroom Apartment;Pretoria;Montana Tuine;2;1;2;51 m²;Mountain Estates;7350
2 Bedroom Apartment;Pretoria;Moregloed;2;2;1;63 m²;Mountain Estates;10250
2 Bedroom Apartment;Pretoria;Moregloed;2;1;1;58 m²;CSi Property Group;10250
1 Bedroom Apartment;Pretoria;Roodeplaat;1;1;2;93 m²;Just Sell Properties - North East;7000
1 Bedroom Apartment;Pretoria;Waterkloof Ridge;1;1;1;84 m²;Chas Everitt Pretoria;11050
1 Bedroom Apartment;Pretoria;Montana;1;1;1;41 m²;Just Sell Properties - North East;6100
2 Bedroom Apartment;Pretoria;Lynnwood;2;1;1;57 m²;Property.CoZa - Unlimited;14000
2 Bedroom Apartment;Pretoria;Annlin;2;1;1;50 m²;Just Imagine Properties;7000
Apartment;Pretoria;Brooklyn;2;1;1;104 m²;Keller Williams Edge;8500
2 Bedroom Apartment;Pretoria;Waverley;2;1;1;55 m²;AFHCO Holdings (Pty) Ltd Johannesburg;7700
2 Bedroom Apartment;Pretoria;Menlo Park;1;2;1;;RE/MAX Property Merchants - Pretoria East, Mooikloof;12680
1 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;1;1;1;;RAK Property Holdings;8000
1 Bedroom Apartment;Pretoria;Philip Nel Park;2;1;2;;CSi Property Group;6050
2 Bedroom Apartment;Pretoria;Hatfield;2;2;1;;Unicity Realty;10500
2 Bedroom Apartment;Pretoria;Mooikloof Ridge;2;1;1;;RAK Property Holdings;6750
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;2;;Just Sell Properties - North East;7600
2 Bedroom Apartment;Pretoria;Moreleta Park;2;2;;;;11950
2 Bedroom Apartment;Pretoria;Mooikloof Ridge;1;1;;;;6750
1 Bedroom Apartment;Pretoria;Sunnyside;2;1.5;;;;3200
2 Bedroom Apartment;Pretoria;Montana;3;1;;;;8000
3 Bedroom Apartment;Pretoria;Kameeldrift East;;2;;;;7500
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;2;64 m²;Plus Group Properties;10500
2 Bedroom Apartment;Pretoria;Greencreek Lifestyle Estate;2;2;2;67 m²;Keller Williams Action;9000
2 Bedroom Apartment;Pretoria;Waverley;2;2;1;63 m²;Mountain Estates;10250
1.5 Bedroom Apartment;Pretoria;Arcadia;1.5;1;2;60 m²;Rainbow Properties;6450
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;71 m²;iQ Real Estate;10600
1.5 Bedroom Apartment;Pretoria;Arcadia;1.5;1;1;75 m²;Rainbow Properties;6450
1 Bedroom Apartment;Pretoria;Wapadrand;1;1;1;86 m²;RE/MAX Capital;6300
1 Bedroom Apartment;Pretoria;Lynnwood Manor;1;1;2;99 m²;Plus Group Properties;9000
2 Bedroom Apartment;Pretoria;Menlo Park;2;2;2;41 m²;Rawson Properties Waterkloof Rentals;11500
3 Bedroom Apartment;Pretoria;Kameeldrift East;3;2;2;115 m²;Keller Williams Edge;10000
2 Bedroom Apartment;Pretoria;Menlo Park;2;2;1;96 m²;Unicity Realty;14000
2 Bedroom Apartment;Pretoria;Lynnwood;2;1;1;52 m²;Smile Property Group;8900
1 Bedroom Apartment;Pretoria;Shere;1;1;1;75 m²;O-YES Properties;7700
2 Bedroom Apartment;Pretoria;Mooikloof Ridge;2;1;2;68 m²;We R Pr1me;8050
3 Bedroom Apartment;Pretoria;Kilner Park;3;2;1;;EXP South Africa;9850
1.5 Bedroom Apartment;Pretoria;Arcadia;1.5;1.5;1;;RE/MAX Infoglobe - Constantia Park;7800
1 Bedroom Apartment;Pretoria;Equestria;1;1;2;;Just Sell Properties - North East;9700
1 Bedroom Apartment;Pretoria;Groenkloof;1;1;1;;Plus Group Properties;11990
2 Bedroom Apartment;Pretoria;Nieuw Muckleneuk;2;2;1;;;10500
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;;;;13500
2 Bedroom Apartment;Pretoria;Elarduspark;2;2;;;;8850
1 Bedroom Apartment;Pretoria;Garsfontein;1;1;1;45 m²;RE/MAX Town and Country Hatfield;8000
1.5 Bedroom Apartment;Pretoria;Gezina;1.5;1;1;79 m²;Apple Property Connection;4500
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;108 m²;Smile Property Group;10800
2 Bedroom Apartment;Pretoria;Mooikloof Ridge;2;1;2;80 m²;RE/MAX Jowic;8500
2 Bedroom Apartment;Pretoria;Leeuwenhof Estate;2;2;1;76 m²;Huurkor Hatfield;9990
2 Bedroom Apartment;Pretoria;Groenkloof;2;1;2;1 m²;Just Sell Properties - North East;8500
2 Bedroom Apartment;Pretoria;Montana;2;2;1;115 m²;OR Properties;8500
2 Bedroom Apartment;Pretoria;Montana Tuine;2;1;1;64 m²;EXP South Africa;7600
2 Bedroom Apartment;Pretoria;La Montagne;2;1;1;43 m²;Just Property Montana;8700
1.5 Bedroom Apartment;Pretoria;Arcadia;1.5;1;2;80 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;6200
2 Bedroom Apartment;Pretoria;The Wilds;2;1;1;76 m²;Gleeson Real Estate;9975
1 Bedroom Apartment;Pretoria;The Hills Game Reserve Estate;1;1;1;104 m²;Damtol Real Estate;8500
1 Bedroom Apartment;Pretoria;Menlo Park;1;1;1;;Huurkor Properties East;13000
1 Bedroom Apartment;Pretoria;Willow Park Manor;1;1;1;;Save Living Properties;13000
1 Bedroom Apartment;Pretoria;Daspoort;1;1;1;;RE/MAX Jowic;4370
1 Bedroom Apartment;Pretoria;Silver Lakes Golf Estate;1;1;1;;Just Sell Properties - North East;16000
2 Bedroom Apartment;Pretoria;Leeuwenhof Estate;2;2;1;;Just Sell Properties - North East;9990
3 Bedroom Apartment;Pretoria;Sinoville;3;1;1;;Just Sell Properties - North East;7500
2 Bedroom Apartment;Pretoria;Montana;2;1;2;;Plus Group Properties;7100
2 Bedroom Apartment;Pretoria;Montana;2;2;1;;;8400
2 Bedroom Apartment;Pretoria;Queenswood;2;1;;;;7500
2 Bedroom Apartment;Pretoria;Hatfield;2;2;1;52 m²;Mabu Properties;9900
2 Bedroom Apartment;Pretoria;Hillcrest;2;1;1;60 m²;Aida Pretoria East;11800
2 Bedroom Apartment;Pretoria;Philip Nel Park;2;1;1;42 m²;Huurkor (Pty) LTD - Sunnyside;6340
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;46 m²;Plus Group Properties;10600
1 Bedroom Apartment;Pretoria;Menlyn;1;1;1;54 m²;LuxLiv Property Group;30000
2 Bedroom Apartment;Pretoria;Hatfield;2;1;1;42 m²;Huurkor Hatfield;6800
1 Bedroom Apartment;Pretoria;Menlo Park;1;1;1;105 m²;RE/MAX Town and Country Hatfield;10380
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;40 m²;RE/MAX Jowic;8500
1 Bedroom Apartment;Pretoria;The Retreat;1;1;1;90 m²;Just Sell Properties - North East;6500
2 Bedroom Apartment;Pretoria;Montana;2;1;2;40 m²;RE/MAX Capital;7250
1 Bedroom Apartment;Pretoria;Lynnwood;1;1;1;83 m²;Aida Pretoria East;7250
2 Bedroom Apartment;Pretoria;Silver Lakes;2;2;1;;Just Property Montana;8800
1 Bedroom Apartment;Pretoria;Menlo Park;1;1;1;;Keller Williams Jacaranda;9200
1 Bedroom Apartment;Pretoria;Arcadia;1;1;2;;RE/MAX Property Merchants - Pretoria East, Mooikloof;4410
2 Bedroom Apartment;Pretoria;Sinoville;2;1;1;;Setino Property Consulting (Pty) Ltd;8500
3 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;3;2;1;;Aida Pretoria East;15000
1 Bedroom Apartment;Pretoria;Sunnyside;1;1;2;;RE/MAX Infoglobe - Constantia Park;2500
2.5 Bedroom Apartment;Pretoria;Silverton;2.5;1;1;;Just Sell Properties - North East;6900
1 Bedroom Apartment;Pretoria;Menlo Park;1;1;;;;9200
2 Bedroom Apartment;Pretoria;Mooikloof Ridge;2;1;;;;8950
2 Bedroom Apartment;Pretoria;Montana;2;1;;;;6900
2 Bedroom Apartment;Pretoria;Pretoria North;2;1;1;64 m²;EXP South Africa;5500
3 Bedroom Apartment;Pretoria;Sinoville;3;1;2;92 m²;Just Sell Properties - North East;7250
2 Bedroom Apartment;Pretoria;Hazeldean;2;2;2;58 m²;iQ Real Estate;10550
2 Bedroom Apartment;Pretoria;Hatfield;2;1;1;64 m²;Mountain Estates;4500
2 Bedroom Apartment;Pretoria;Pretoria Gardens;2;1;1;55 m²;Just Sell Properties - North East;7000
1 Bedroom Apartment;Pretoria;Villieria;1;1;1;75 m²;Trafalgar Property Management - Pretoria;4925
2 Bedroom Apartment;Pretoria;Montana;2;2;2;53 m²;Mandated;8700
1.5 Bedroom Apartment;Pretoria;Waverley;1.5;1;1;56 m²;Keller Williams Edge;5400
1 Bedroom Apartment;Pretoria;Brooklyn;1;1;1;79 m²;Mountain Estates;9990
2 Bedroom Apartment;Pretoria;Philip Nel Park;2;1;2;92 m²;RE/MAX Infoglobe - Constantia Park;7600
3 Bedroom Apartment;Pretoria;Hatfield;3;1;2;64 m²;Landsdowne Investment Properties;5000
1 Bedroom Apartment;Pretoria;Groenkloof;1;1;2;106 m²;RE/MAX Infoglobe - Centurion;10800
2 Bedroom Apartment;Pretoria;Hillcrest;2;1;2;;Just Sell Properties - North East;8000
2 Bedroom Apartment;Pretoria;Tijger Vallei;2;2;2;;Huurkor Hatfield;11000
1 Bedroom Apartment;Pretoria;Villieria;1;1;;;Just Property Pretoria North;4925
2 Bedroom Apartment;Pretoria;Menlo Park;2;2;;;;16000
2 Bedroom Apartment;Pretoria;Mooikloof;2;2;;;;9000
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;;;;20000
2 Bedroom Apartment;Pretoria;Sinoville;2;2;;;;10600
1 Bedroom Apartment;Pretoria;Sunnyside;1;1;;;;3800
2 Bedroom Apartment;Pretoria;Pretoria North;2;1;;;;5500
2 Bedroom Apartment;Pretoria;Villieria;2;1;1;40 m²;First Property Trust;5800
1 Bedroom Apartment;Pretoria;Mooikloof Ridge;1;1;1;64 m²;Mandated;8500
2 Bedroom Apartment;Pretoria;Montana;2;1;1;64 m²;Plus Group Properties;9500
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;80 m²;Plus Group Properties;7950
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;2;68 m²;Landsdowne Investment Properties;8800
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;4;75 m²;RE/MAX Infoglobe - Constantia Park;8800
3 Bedroom Apartment;Pretoria;Mooikloof;3;2;1;30 m²;Unicity Realty;11500
2 Bedroom Apartment;Pretoria;Waterkloof Ridge;2;1;1;106 m²;Rize Property Professionals;17000
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;1;56 m²;RE/MAX Infoglobe - Constantia Park;13000
1 Bedroom Apartment;Pretoria;Brooklyn;1;1;2;75 m²;Leapfrog Group;6000
2 Bedroom Apartment;Pretoria;La Montagne;2;1;2;33 m²;Smile Property Group;12000
1 Bedroom Apartment;Pretoria;Menlyn;1;1;1;84 m²;Rawson Properties Waterkloof Rentals;18000
3 Bedroom Apartment;Pretoria;Waterkloof;3;2.5;1;81 m²;RE/MAX Jacaranda - Faerie Glen;29900
2 Bedroom Apartment;Pretoria;Roodepark Eco Estate;2;1;1;64 m²;Rapid Rentals;8900
1 Bedroom Apartment;Pretoria;Shere;1;1;2;;Uysie de Klerk Eiendomme Waterkloof;6950
0.5 Bedroom Apartment;Pretoria;Mountain View;0.5;1;2;;Just Sell Properties - North East;4500
2 Bedroom Apartment;Pretoria;La Montagne;2;1;1;;iQ Real Estate;8000
2 Bedroom Apartment;Pretoria;Montana;2;1;1;;Keller Williams Edge;7800
2 Bedroom Apartment;Pretoria;Equestria;2;2;;;Plus Group Properties;10000
1 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;1;1;;;;8000
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;;;;8800
2 Bedroom Apartment;Pretoria;Nieuw Muckleneuk;2;2;2;82 m²;Renico Construction;9650
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;2;70 m²;RE/MAX Infoglobe - Constantia Park;16500
1 Bedroom Apartment;Pretoria;Menlyn;1;1;1;51 m²;Unicity Realty;13800
1 Bedroom Apartment;Pretoria;Brooklyn;1;1;1;69 m²;Aida Pretoria East;10000
3 Bedroom Apartment;Pretoria;Annlin;3;2;2;55 m²;Just Sell Properties - North East;9400
1.5 Bedroom Apartment;Pretoria;Buffelsdrift AH;1.5;1.5;1;65 m²;RealNet RainMaker;7000
2 Bedroom Apartment;Pretoria;Olympus AH;2;1;1;84 m²;Smile Property Group;8000
2 Bedroom Apartment;Pretoria;Montana;2;1;1;58 m²;We R Pr1me;7500
2 Bedroom Apartment;Pretoria;Menlo Park;2;1;1;74 m²;CSi Property Group;19500
0.5 Bedroom Apartment;Pretoria;Pretoria West;2;2;2;53 m²;RE/MAX Infoglobe - Constantia Park;3700
2 Bedroom Apartment;Pretoria;Montana;0.5;1;1;83 m²;Rapid Rentals;7200
2 Bedroom Apartment;Pretoria;Annlin;2;1;2;40 m²;Just Sell Properties - North East;8400
3 Bedroom Apartment;Pretoria;Annlin;2;2;2;71 m²;Real Estate Services;9400
1 Bedroom Apartment;Pretoria;Menlo Park;3;2;1;;Just Sell Properties - North East;9800
2 Bedroom Apartment;Pretoria;Waverley;1;1;2;;RE/MAX Infoglobe - Constantia Park;10250
2 Bedroom Apartment;Pretoria;Equestria;2;1;1;;Mountain Estates;8900
2 Bedroom Apartment;Pretoria;La Montagne;2;1;2;;Real Estate Services;8100
2 Bedroom Apartment;Pretoria;Menlo Park;2;1;1;;RE/MAX Property Merchants - Pretoria East, Mooikloof;14500
1 Bedroom Apartment;Pretoria;Willow Park Manor;2;3;;;RE/MAX Jacaranda - Faerie Glen;7999
2 Bedroom Apartment;Pretoria;Waverley;1;1;;;IGrow Rentals;10950
3 Bedroom Apartment;Pretoria;Sinoville;3;2;2;156 m²;RealNet RainMaker;10500
2 Bedroom Apartment;Pretoria;Six Fountains;2;2;2;122 m²;Rent a Prop Pretoria East;15500
2 Bedroom Apartment;Pretoria;Mooikloof;2;2;2;65 m²;Landsdowne Investment Properties;10000
1 Bedroom Apartment;Pretoria;Greencreek Lifestyle Estate;1;1;1;56 m²;RE/MAX Infoglobe - Constantia Park;7500
2 Bedroom Apartment;Pretoria;Hatfield;2;1;1;46 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;10500
1 Bedroom Apartment;Pretoria;Menlyn;1;1;1;45 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;26000
1 Bedroom Apartment;Pretoria;Hatfield;1;1;1;79 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;11500
58 Bedroom Apartment;Pretoria;Waterkloof;58;58;58;59 m²;Real Estate Services;8990
2 Bedroom Apartment;Pretoria;Roodepark Eco Estate;2;2;1;46 m²;RE/MAX Capital;10500
2 Bedroom Apartment;Pretoria;Nieuw Muckleneuk;2;2;1;41 m²;Margie Pienaar Eiendomme;11000
2 Bedroom Apartment;Pretoria;Queenswood;2;1;2;65 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;9700
1 Bedroom Apartment;Pretoria;Hatfield;1;1;1;103 m²;VD5 Properties;11500
2 Bedroom Apartment;Pretoria;Brooklyn;2;2;2;85 m²;RE/MAX Property Merchants - Pretoria East, Mooikloof;12000
1 Bedroom Apartment;Pretoria;Greencreek Lifestyle Estate;1;1;1;80 m²;Just Sell Properties - North East;8000
1 Bedroom Apartment;Pretoria;Rietfontein;1;1;1;;Real Estate Services;5500
2 Bedroom Apartment;Pretoria;Moregloed;2;1;1;;Plus Group Properties;8200
0.5 Bedroom Apartment;Pretoria;Pretoria North;0.5;1;1;;Mountain Estates;4600
2 Bedroom Apartment;Pretoria;Menlyn;2;2;2;;Smile Property Group;40000
2 Bedroom Apartment;Pretoria;Olympus AH;2;2;2;;;9900
2 Bedroom Apartment;Pretoria;Montana;2;2;1;;;10480
3 Bedroom Apartment;Pretoria;La Montagne;3;1;;;;7560
1 Bedroom Apartment;Pretoria;Waterkloof;1;4;6;51 m²;Reliable Realty;4300
2 Bedroom Apartment;Pretoria;La Montagne;2;1;2;75 m²;Mabu Properties;7600
1 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;1;1;1;75 m²;Just Property Pretoria North;9500
1 Bedroom Apartment;Pretoria;Pretoria North;1;1;1;50 m²;Engel & Volkers Waterkloof Pretoria;5950
2 Bedroom Apartment;Pretoria;Groenkloof;2;1;2;104 m²;Keller Williams Edge;7500
1 Bedroom Apartment;Pretoria;Monument Park;1;1;1;69 m²;Pretor Property Management (Pty) Ltd;8800
3 Bedroom Apartment;Pretoria;Mooikloof Glen;3;2;2;60 m²;RealNet RainMaker;11500
0.5 Bedroom Apartment;Pretoria;Brooklyn;0.5;1;2;45 m²;Plus Group Properties;5500
2 Bedroom Apartment;Pretoria;Montana Park;2;1;2;;Plus Group Properties;8600
2 Bedroom Apartment;Pretoria;Moreleta Park;2;1;1;;Huurkor (Pty) LTD - Sunnyside;9500
2 Bedroom Apartment;Pretoria;Menlo Park;2;2;2;;OR Properties;11500
2 Bedroom Apartment;Pretoria;Menlo Park;2;2;1;;Huurkor (Pty) LTD - Sunnyside;11500
0.5 Bedroom Apartment;Pretoria;Pretoria Central;0.5;1;1;;Rawson Properties Equestria;3780
2 Bedroom Apartment;Pretoria;Lady Selborne;2;1;2;;Blue Knight Estates;6500
3 Bedroom Apartment;Pretoria;Willow Park Manor;3;2;2;;EXP South Africa;15000
0.5 Bedroom Apartment;Pretoria;Pretoria Central;0.5;1;1;;EXP South Africa;3780
3 Bedroom Apartment;Pretoria;Annlin;3;2;1;;;8690
2 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;2;2;1;;;15500
1 Bedroom Apartment;Pretoria;Rietfontein;1;1;;;;5400
1 Bedroom Apartment;Pretoria;Brooklyn;1;1;;;;13990
1 Bedroom Apartment;Pretoria;Brooklyn;1;1;;;;10990
2 Bedroom Apartment;Pretoria;Sinoville;2;2;1;60 m²;Plus Group Properties;10600
1 Bedroom Apartment;Pretoria;Mooikloof;1;1;2;41 m²;Landsdowne Investment Properties;8000
2 Bedroom Apartment;Pretoria;Blyde Riverwalk Estate;2;2;1;102 m²;RE/MAX Infoglobe - Constantia Park;12000
